Alfred Hitchcock,Memoria Una (1),Histórico,1975132
Guillermo del Toro,Una Algo (2),Western,1953135
David Fincher,Noche Amor (3),Suspenso,1921180
Pedro Almodóvar,Las El Noche (4),Western,1944162
Francis Ford Coppola,Esperanza Algo Memoria Secreto (5),Suspenso,1982185
Martin Scorsese,Camino Vida Algo Día (6),Acción,1951136
Martin Scorsese,El Una Los (7),Independiente,1975205
Steven Spielberg,El Un Destino Muerte (8),Thriller,201972
Wong Kar-wai,Los Viaje (9),Animación,1956207
Wes Anderson,Algo Un Las (10),Aventura,1949130
Alejandro González Iñárritu,Una Tiempo El (11),Western,198084
Alfred Hitchcock,Tiempo Una Viaje Las (12),Western,2023211
David Fincher,Día Memoria Un (13),Thriller,2006202
Quentin Tarantino,Memoria Tiempo Vida Destino (14),Romance,196395
Guillermo del Toro,Sueño Algo Las (15),Thriller,1932217
Ridley Scott,Día Vida Camino (16),Romance,1967175
Alejandro González Iñárritu,Destino Un Día (17),Aventura,2006176
James Cameron,Una Noche Vida (18),Terror,1938150
Wong Kar-wai,Algo Noche Una (19),Western,2008173
Woody Allen,Camino Algo Secreto (20),Histórico,1981125
Alejandro González Iñárritu,Amor Una (21),Aventura,2019184
Sofia Coppola,Camino Esperanza Amor El (1706),Drama,1948,93
Alfred Hitchcock,Memoria La (1707),Aventura,2017,173
Alfred Hitchcock,Camino Muerte Tiempo (1708),Thriller,1985,74
Pedro Almodóvar,Amor El Los (1709),Histórico,2013,214
David Fincher,Muerte La Vida Algo (1710),Crimen,1998,179
Wes Anderson,Sueño Día Una (1711),Drama,1949,176
Christopher Nolan,Destino Amor Muerte La (1712),Terror,1994,97
Christopher Nolan,Memoria Tiempo (1713),Acción,1921,178
Tim Burton,Día Esperanza (1714),Drama,1935,220
David Fincher,Sueño Noche Muerte (1715),Western,1947,150
Denis Villeneuve,Tiempo Una Noche Viaje (1716),Experimental,1976,119
David Fincher,Los Tiempo Secreto (1717),Comedia,1935,88
Christopher Nolan,Vida Los Un (1718),Animación,1921,225
James Cameron,Secreto Memoria El (1719),Comedia,1964,220
Steven Spielberg,Memoria Viaje Camino (1720),Comedia,1939,95
Guillermo del Toro,Destino Viaje Una (1721),Experimental,1960,187
Stanley Kubrick,Tiempo Sueño Amor (1722),Histórico,1925,147
Denis Villeneuve,Memoria Camino Los El (1723),Aventura,2016,140
Alfred Hitchcock,Un Una (1724),Suspenso,2020,189
Ridley Scott,Tiempo El Los (1725),Acción,1955,203
Stanley Kubrick,El Vida Tiempo Algo (1726),Biografía,1940,104
Tim Burton,Un Una (1727),Independiente,1986,122
David Fincher,Viaje El (1728),Terror,1995,165
Denis Villeneuve,Memoria Camino (1729),Drama,2023,161
Christopher Nolan,Sueño Muerte Día (1730),Fantasía,1956,126
Woody Allen,Una La Un Las (1731),Aventura,1937,91
James Cameron,Memoria Los Destino Un (1732),Aventura,2009,186
Tim Burton,Algo Una (1733),Comedia,1941,77
Guillermo del Toro,La Un Día El (1734),Independiente,1988,162
Stanley Kubrick,Vida Noche Tiempo (1735),Comedia,1963,90
Tim Burton,Tiempo Muerte (1736),Histórico,2023,173
Pedro Almodóvar,Los Esperanza Una (1737),Ciencia Ficción,2009,179
James Cameron,Secreto Algo (1738),Ciencia Ficción,1963,97
Quentin Tarantino,Sueño Una Memoria (1739),Fantasía,1930,119
David Fincher,Muerte Tiempo (1740),Terror,1930,110
Martin Scorsese,Noche Día Memoria El (1741),Independiente,2018,130
Woody Allen,El Muerte (1742),Terror,1928,211
Martin Scorsese,Un Algo Camino Los (1743),Western,2001,78
David Fincher,Esperanza Muerte Memoria El (1744),Terror,2008,100
Martin Scorsese,Esperanza Sueño Destino Algo (1745),Animación,1968,126
Alejandro González Iñárritu,Viaje Secreto La (1746),Biografía,1982,79
Stanley Kubrick,Viaje Esperanza (1747),Guerra,1972,87
James Cameron,Camino El Una Día (1748),Aventura,1943,219
David Fincher,Tiempo Las Esperanza (1749),Independiente,1930,157
Akira Kurosawa,Una Muerte (1750),Guerra,1991,180
Wes Anderson,Las Muerte Vida Camino (1751),Drama,1995,205
Wong Kar-wai,Noche La (1752),Independiente,1976,189
Alejandro González Iñárritu,Las Viaje Una (1753),Aventura,1930,103
Denis Villeneuve,Destino Vida Secreto (1754),Ciencia Ficción,1977,139
Woody Allen,Sueño Esperanza Memoria Los (1755),Terror,1946,162
Wes Anderson,Camino La Destino Viaje (1756),Comedia,1921,139
Quentin Tarantino,Viaje Las Memoria (1757),Crimen,2006,139
David Fincher,Un Amor (1758),Experimental,1962,71
Tim Burton,Sueño Memoria Tiempo (1759),Terror,2001,121
Tim Burton,Los Secreto Noche Las (1760),Thriller,1991,208
David Fincher,Esperanza Noche Amor Las (1761),Acción,1944,158
Pedro Almodóvar,Sueño Secreto Las Un (1762),Western,1984,174
Ridley Scott,Las Secreto Esperanza (1763),Acción,1938,203
Sofia Coppola,Una Las El Esperanza (1764),Aventura,2009,125
Francis Ford Coppola,Sueño Noche La (1765),Guerra,2007,132
Guillermo del Toro,Destino Vida (1766),Biografía,1975,180
Wong Kar-wai,El Una Algo Tiempo (1767),Musical,1972,180
Akira Kurosawa,Una Esperanza (1768),Crimen,1974,142
Pedro Almodóvar,Sueño Noche Viaje Las (1769),Ciencia Ficción,2019,172
David Fincher,Algo La Una Las (1770),Fantasía,1974,90
Stanley Kubrick,Algo Noche Sueño Día (1771),Fantasía,1998,205
Alejandro González Iñárritu,Los Esperanza Algo (1772),Suspenso,1925,149
Pedro Almodóvar,Sueño Amor (1773),Fantasía,1996,112
Sofia Coppola,Sueño Una (1774),Ciencia Ficción,1972,71
Stanley Kubrick,Memoria Muerte El (1775),Western,1933,141
Sofia Coppola,El Una (1776),Histórico,1932,187
Ridley Scott,Noche Viaje Destino (1777),Independiente,2017,139
Denis Villeneuve,Las Noche Tiempo Memoria (1778),Independiente,1921,107
Alejandro González Iñárritu,Las El Los (1779),Terror,1967,121
Steven Spielberg,Tiempo Vida Las Destino (1780),Crimen,1954,83
Alejandro González Iñárritu,Destino Camino (1781),Histórico,2020,173
James Cameron,Vida La Camino (1782),Musical,1943,183
Pedro Almodóvar,Noche Algo (1783),Documental,1950,189
Pedro Almodóvar,Vida Algo (1784),Fantasía,1998,146
Quentin Tarantino,La Tiempo Destino Sueño (1785),Acción,1938,203
Wong Kar-wai,Sueño La Esperanza (1786),Comedia,1965,93
David Fincher,Los Secreto (1787),Comedia,1923,169
Pedro Almodóvar,Los Esperanza (1788),Documental,2003,198
Woody Allen,Vida Viaje (1789),Experimental,2022,177
Guillermo del Toro,Esperanza Noche El Los (1790),Terror,2007,196
Wong Kar-wai,Viaje Esperanza Sueño (1791),Comedia,1948,114
Christopher Nolan,Las Memoria Muerte (1792),Independiente,1985,105
Sofia Coppola,Viaje Noche Amor (1793),Crimen,1937,142
Stanley Kubrick,Esperanza Viaje (1794),Experimental,1922,212
Wes Anderson,Tiempo Algo (1795),Animación,1980,167
Wong Kar-wai,Una Muerte (1796),Comedia,1985,73
David Fincher,Vida Memoria Camino (1797),Biografía,1988,221
Alejandro González Iñárritu,Vida Esperanza (1798),Thriller,1945,134
Guillermo del Toro,El Amor Los (1799),Independiente,1980,124
Alejandro González Iñárritu,Los Tiempo Algo (1800),Ciencia Ficción,1988,218
Alejandro González Iñárritu,Una Los Noche Las (1801),Documental,1969,71
Quentin Tarantino,Día Viaje (1802),Thriller,2008,89
James Cameron,Los Tiempo Esperanza Vida (1803),Thriller,1982,180
Ridley Scott,Amor Una (1804),Independiente,2011,158
David Fincher,Día La (1805),Fantasía,1984,126
Pedro Almodóvar,Algo Memoria Las Viaje (1806),Western,1946,133
James Cameron,Vida Amor Viaje Memoria (1807),Experimental,1944,196
Martin Scorsese,Camino Amor El Día (1808),Western,1951,197
Denis Villeneuve,Memoria Noche Un (1809),Histórico,2017,217
Stanley Kubrick,Viaje Destino (1810),Animación,1999,99
Wes Anderson,Vida Los Sueño Tiempo (1811),Crimen,1985,169
Christopher Nolan,Sueño El Memoria Viaje (1812),Aventura,1985,143
Stanley Kubrick,La Sueño Vida Amor (1813),Biografía,1930,136
Martin Scorsese,El Esperanza (1814),Biografía,2023,87
Quentin Tarantino,Noche Vida Una Camino (1815),Romance,1925,176
Denis Villeneuve,Vida Algo Esperanza Camino (1816),Drama,1994,116
Woody Allen,Viaje Algo (1817),Suspenso,1992,167
Alejandro González Iñárritu,Noche Algo Las Los (1818),Histórico,1992,168
Ridley Scott,Las Día (1819),Romance,2009,83
Stanley Kubrick,Noche Secreto Amor Vida (1820),Biografía,1935,91
Christopher Nolan,Noche Secreto Esperanza (1821),Drama,1970,96
Steven Spielberg,La Camino (1822),Acción,1995,105
Wes Anderson,El Sueño (1823),Crimen,2005,99
Alejandro González Iñárritu,Muerte Los Amor Viaje (1824),Acción,1937,222
Tim Burton,Algo Memoria La Vida (1825),Ciencia Ficción,1979,195
Alfred Hitchcock,Sueño Destino (1826),Terror,1952,137
Ridley Scott,Noche Muerte Sueño La (1827),Musical,1959,81
Francis Ford Coppola,Algo Esperanza Muerte Memoria (1828),Ciencia Ficción,1956,112
Martin Scorsese,Memoria Algo (1829),Drama,2001,194
James Cameron,Noche Destino Vida Viaje (1830),Aventura,1984,136
Stanley Kubrick,Día Memoria (1831),Drama,1940,113
Quentin Tarantino,Las Vida (1832),Crimen,1925,177
Sofia Coppola,Algo Sueño La (1833),Aventura,1969,199
Wes Anderson,Viaje Esperanza Las El (1834),Musical,2002,82
James Cameron,El Muerte Memoria Vida (1835),Animación,1998,172
Guillermo del Toro,Vida El (1836),Comedia,1924,229
Ridley Scott,Algo Los (1837),Aventura,1990,179
Alejandro González Iñárritu,Memoria Las Un Los (1838),Thriller,1938,154
Wes Anderson,Destino Viaje (1839),Drama,1960,96
Akira Kurosawa,Sueño El Camino Noche (1840),Drama,1980,209
Woody Allen,Algo Vida Camino Sueño (1841),Documental,1974,170
Guillermo del Toro,Vida Día (1842),Experimental,1954,182
Alejandro González Iñárritu,Secreto El (1843),Crimen,1993,136
Steven Spielberg,Camino Una (1844),Romance,1976,102
Quentin Tarantino,Muerte Amor La Una (1845),Crimen,1961,117
Denis Villeneuve,Un Vida Sueño Los (1846),Documental,2009,181
Steven Spielberg,Amor Viaje (1847),Acción,1949,226
Tim Burton,Memoria Secreto Esperanza Vida (1848),Documental,1980,186
Tim Burton,Muerte Tiempo Sueño (1849),Acción,2019,164
Sofia Coppola,Los Una (1850),Thriller,1931,114
Pedro Almodóvar,La Los Un (1851),Biografía,1995,83
Woody Allen,Memoria El Viaje (1852),Independiente,2013,204
Sofia Coppola,Noche Una (1853),Suspenso,1959,138
Alejandro González Iñárritu,Día Algo Un Noche (1854),Romance,1961,204
Ridley Scott,Camino Vida Esperanza (1855),Ciencia Ficción,1950,197
Denis Villeneuve,Vida Muerte (1856),Experimental,1984,144
Denis Villeneuve,Vida Esperanza Sueño Memoria (1857),Experimental,1985,227
Francis Ford Coppola,Viaje La (1858),Thriller,2011,213
Alfred Hitchcock,Algo Noche (1859),Independiente,1939,100
Francis Ford Coppola,El Un Secreto (1860),Crimen,1952,159
Wong Kar-wai,La Un El Destino (1861),Biografía,2000,70
Alfred Hitchcock,Destino Una Vida (1862),Suspenso,1926,198
Denis Villeneuve,Noche Camino (1863),Romance,1925,197
Denis Villeneuve,Viaje Muerte Noche (1864),Crimen,1961,200
Quentin Tarantino,Memoria Tiempo (1865),Romance,1983,179
James Cameron,Tiempo Camino Día Viaje (1866),Thriller,1968,195
Pedro Almodóvar,Memoria Vida (1867),Animación,1930,207
Pedro Almodóvar,Una Sueño (1868),Thriller,1970,133
Steven Spielberg,La Noche Camino (1869),Romance,1953,213
Quentin Tarantino,Esperanza Amor (1870),Acción,1991,80
Sofia Coppola,Vida Memoria Sueño (1871),Terror,1946,221
Akira Kurosawa,Noche Memoria Secreto Tiempo (1872),Guerra,2021,153
Stanley Kubrick,Secreto Las (1873),Fantasía,2021,90
Guillermo del Toro,Esperanza La (1874),Experimental,2020,162
Denis Villeneuve,Tiempo Sueño Amor (1875),Guerra,2009,152
Wong Kar-wai,Memoria Algo El (1876),Biografía,1928,89
Sofia Coppola,Las Los Destino Día (1877),Terror,1930,228
Woody Allen,Muerte Vida Viaje Camino (1878),Drama,2015,113
Martin Scorsese,Tiempo Amor Destino (1879),Guerra,1941,153
Denis Villeneuve,Tiempo Camino (1880),Independiente,1984,124
Alfred Hitchcock,Noche Día El (1881),Comedia,1934,90
Guillermo del Toro,Memoria Las Un Sueño (1882),Animación,1957,100
James Cameron,El Memoria Vida Las (1883),Terror,1949,78
Francis Ford Coppola,Amor El (1884),Guerra,1949,157
David Fincher,Memoria Camino Tiempo Los (1885),Romance,1932,224
Ridley Scott,Viaje El Memoria Día (1886),Independiente,1954,210
David Fincher,Algo Las Viaje (1887),Western,1938,123
Pedro Almodóvar,Amor Un Las (1888),Drama,1976,107
Steven Spielberg,Un Camino (1889),Musical,1976,132
James Cameron,Algo Un (1890),Fantasía,2002,210
Christopher Nolan,Viaje Camino (1891),Guerra,1975,225
Wes Anderson,Muerte Una Sueño (1892),Biografía,1997,160
James Cameron,Algo Los (1893),Ciencia Ficción,1989,161
Guillermo del Toro,Noche Muerte La (1894),Acción,2007,78
Wong Kar-wai,Memoria Secreto La (1895),Western,1928,202
Quentin Tarantino,Un Noche (1896),Guerra,1969,230
Francis Ford Coppola,Esperanza Amor Algo (1897),Histórico,1923,196
Stanley Kubrick,Noche Muerte Las La (1898),Western,1979,97
Denis Villeneuve,Memoria Las Destino (1899),Histórico,1928,95
Denis Villeneuve,Las Noche (1900),Romance,1960,83
James Cameron,Vida Algo Secreto (1901),Histórico,1945,103
Wes Anderson,Tiempo Viaje Vida (1902),Independiente,1979,196
Tim Burton,Viaje Vida (1903),Drama,1942,160
Guillermo del Toro,Las La Un (1904),Histórico,1997,112
Alfred Hitchcock,El Las Los Memoria (1905),Ciencia Ficción,1978,164
Francis Ford Coppola,Día Destino Los (1906),Drama,1928,106
Sofia Coppola,Vida Sueño (1907),Ciencia Ficción,1986,212
Guillermo del Toro,Un Noche (1908),Experimental,1946,165
Pedro Almodóvar,Noche La Los Esperanza (1909),Comedia,2002,177
Akira Kurosawa,Muerte Noche (1910),Experimental,1925,79
Tim Burton,Muerte Las (1911),Documental,2021,94
Ridley Scott,Muerte Noche Viaje Un (1912),Aventura,1937,188
Quentin Tarantino,Destino Camino La Las (1913),Musical,1944,169
Francis Ford Coppola,Vida Noche Secreto Sueño (1914),Guerra,1952,139
Alfred Hitchcock,Viaje Secreto (1915),Thriller,1948,166
Alfred Hitchcock,Viaje El (1916),Crimen,1926,107
Quentin Tarantino,Las Tiempo Algo (1917),Comedia,1997,196
Pedro Almodóvar,Secreto Muerte Esperanza Los (1918),Animación,1924,216
Tim Burton,Los Secreto Noche El (1919),Aventura,1949,158
Wes Anderson,Tiempo Día (1920),Thriller,2000,78
Stanley Kubrick,Vida La (1921),Experimental,2021,139
Tim Burton,Un Esperanza Vida Algo (1922),Animación,1922,225
Denis Villeneuve,Secreto Viaje (1923),Western,1980,184
Stanley Kubrick,Una Noche Un (1924),Independiente,1949,193
Woody Allen,Memoria Vida Sueño Amor (1925),Aventura,1979,102
Alfred Hitchcock,Vida Los (1926),Drama,1974,224
Ridley Scott,Las Día (1927),Terror,1974,102
Wes Anderson,Algo Tiempo Muerte (1928),Thriller,1985,129
Christopher Nolan,Vida Memoria Amor Viaje (1929),Fantasía,1982,220
Guillermo del Toro,Esperanza Una Día (1930),Crimen,1966,107
Ridley Scott,Día Destino (1931),Biografía,1941,125
Francis Ford Coppola,La Las (1932),Biografía,1993,215
James Cameron,Sueño Algo Los (1933),Independiente,1954,189
Wong Kar-wai,Los Tiempo (1934),Experimental,2006,135
Steven Spielberg,Algo Tiempo Un Viaje (1935),Histórico,1975,120
Martin Scorsese,Tiempo Destino (1936),Animación,1949,125
Stanley Kubrick,Noche Sueño (1937),Histórico,2015,188
Wes Anderson,Un La El Las (1938),Suspenso,1963,102
Sofia Coppola,Destino Una Tiempo (1939),Thriller,1965,74
Martin Scorsese,Secreto La (1940),Terror,1920,104
Wes Anderson,Memoria Muerte La Algo (1941),Ciencia Ficción,1920,206
Alfred Hitchcock,Sueño Día (1942),Drama,1940,191
Steven Spielberg,Una Secreto (1943),Acción,1956,159
Wes Anderson,Las Vida Sueño (1944),Crimen,1931,153
Pedro Almodóvar,Amor Una Tiempo Memoria (1945),Western,1952,204
Akira Kurosawa,Vida Camino Tiempo Muerte (1946),Terror,1951,109
Stanley Kubrick,Camino Los La (1947),Romance,1963,109
David Fincher,Una Camino Día Las (1948),Western,1963,147
James Cameron,Las Algo El Un (1949),Fantasía,2009,92
James Cameron,Viaje Un La Memoria (1950),Thriller,1966,223
Wes Anderson,Una Camino Un (1951),Biografía,2004,216
Wes Anderson,Un Vida (1952),Acción,1979,208
Guillermo del Toro,Secreto Una Esperanza Sueño (1953),Crimen,1946,88
Woody Allen,Muerte Sueño Memoria (1954),Comedia,1981,144
Christopher Nolan,Secreto Noche Tiempo (1955),Guerra,1954,85
Denis Villeneuve,Las Destino Viaje (1956),Ciencia Ficción,2001,124
David Fincher,Vida Día (1957),Thriller,1998,182
Christopher Nolan,Amor Una Esperanza (1958),Western,1977,211
David Fincher,Camino Tiempo (1959),Suspenso,1990,151
Akira Kurosawa,Tiempo Memoria Los Algo (1960),Drama,1956,156
Denis Villeneuve,Amor Sueño (1961),Aventura,2004,160
Akira Kurosawa,Las Viaje (1962),Independiente,1956,178
Wes Anderson,Noche Sueño La Los (1963),Guerra,1980,102
Martin Scorsese,Muerte Los Esperanza (1964),Ciencia Ficción,1986,119
Christopher Nolan,Esperanza Noche Muerte (1965),Aventura,2022,98
Quentin Tarantino,Memoria Destino Secreto (1966),Suspenso,1967110
Sofia Coppola,Sueño Algo Camino (1967),Ciencia Ficción,200088
Tim Burton,Secreto Muerte La (1968),Aventura,1958123
Sofia Coppola,Una Sueño Un (1969),Ciencia Ficción,1967137
Alejandro González Iñárritu,Noche Viaje Un La (1970),Romance,1939189
Christopher Nolan,Noche Viaje Sueño (1971),Thriller,1985216
Alfred Hitchcock,Secreto Sueño (1972),Documental,2023221
Ridley Scott,La Día Una (1973),Acción,1945206
Denis Villeneuve,Día Una Noche (1974),Documental,1929150
Ridley Scott,Vida Noche El (1975),Drama,2019179
Pedro Almodóvar,Tiempo Vida (1976),Acción,1967168
Stanley Kubrick,La Muerte (1977),Comedia,2004177
Martin Scorsese,Algo Un Secreto (1978),Histórico,2016211
Wes Anderson,Los Noche La (1979),Crimen,2009155
Tim Burton,Algo Memoria Vida (1980),Fantasía,1981189
Akira Kurosawa,Una Vida El Viaje (1981),Thriller,1967160
Ridley Scott,Los Sueño (1982),Comedia,1966108
Tim Burton,Sueño El Destino Amor (1983),Documental,2001175
Christopher Nolan,Tiempo Día (1984),Guerra,1943133
Guillermo del Toro,Secreto Los El (1985),Romance,1991156
Akira Kurosawa,Esperanza Noche (1986),Terror,1973180
Guillermo del Toro,Sueño Camino (1987),Suspenso,198372
Pedro Almodóvar,Vida Destino (1988),Romance,1944211
Denis Villeneuve,El Camino Los (1989),Acción,1941186
Guillermo del Toro,La Noche (1990),Fantasía,1968146
Wong Kar-wai,La Secreto (1991),Romance,197770
Wong Kar-wai,El Una Amor (1992),Drama,1922156
Alejandro González Iñárritu,Memoria El Muerte (1993),Independiente,2009134
Martin Scorsese,Día Muerte (1994),Histórico,1937207
Quentin Tarantino,Una Sueño Día (1995),Romance,1971146
Sofia Coppola,Viaje Vida (1996),Documental,2007114
Martin Scorsese,Amor La (1997),Experimental,1958172
Wong Kar-wai,Día Muerte (1998),Histórico,1982217
Alejandro González Iñárritu,Muerte La Noche (1999),Independiente,1956153
Christopher Nolan,Muerte Secreto Tiempo La (2000),Drama,2008148
